+----------------------------+--------------------+------------------------------------------------------------------------------+--------------------+-------------------+----------------------------------------------+----------------------+
| 表名                       | 字段名             | 字段类型                                                                     | 是否允许为空       | 默认值            | 字段备注                                     | 键类型(PRI主键)      |
+----------------------------+--------------------+------------------------------------------------------------------------------+--------------------+-------------------+----------------------------------------------+----------------------+
| attraction_realtime_status | id                 | int                                                                          | NO                 | NULL              | ID                                           | PRI                  |
| attraction_realtime_status | attraction_id      | int                                                                          | NO                 | NULL              | 景点ID                                       | MUL                  |
| attraction_realtime_status | weather            | varchar(50)                                                                  | YES                | NULL              | 天气                                         |                      |
| attraction_realtime_status | temperature        | int                                                                          | YES                | NULL              | 温度                                         |                      |
| attraction_realtime_status | crowd_count        | int                                                                          | YES                | NULL              | 实时人数                                     |                      |
| attraction_realtime_status | crowd_level        | int                                                                          | YES                | NULL              | 拥挤等级                                     | MUL                  |
| attraction_realtime_status | update_time        | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              | MUL                  |
| attraction_realtime_status | created_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
| attraction_realtime_status | deleted            | tinyint                                                                      | YES                | 0                 | 删除标记                                     |                      |
| attractions                | id                 | int                                                                          | NO                 | NULL              | 景点ID                                       | PRI                  |
| attractions                | name               | varchar(100)                                                                 | NO                 | NULL              | 景点名称                                     |                      |
| attractions                | city_id            | int                                                                          | NO                 | NULL              | 城市ID                                       | MUL                  |
| attractions                | address            | varchar(200)                                                                 | YES                | NULL              | 地址                                         |                      |
| attractions                | description        | text                                                                         | YES                | NULL              | 景点描述                                     |                      |
| attractions                | ticket_price       | decimal(10,2)                                                                | YES                | 0.00              | 门票价格                                     | MUL                  |
| attractions                | opening_hours      | varchar(100)                                                                 | YES                | NULL              | 开放时间                                     |                      |
| attractions                | latitude           | decimal(10,8)                                                                | YES                | NULL              | 纬度                                         |                      |
| attractions                | longitude          | decimal(11,8)                                                                | YES                | NULL              | 经度                                         |                      |
| attractions                | images             | text                                                                         | YES                | NULL              | 图片(JSON格式)                               |                      |
| attractions                | rating             | decimal(3,2)                                                                 | YES                | 0.00              | 评分                                         | MUL                  |
| attractions                | view_count         | int                                                                          | YES                | 0                 | 浏览数                                       |                      |
| attractions                | created_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
| attractions                | updated_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
| cities                     | id                 | int                                                                          | NO                 | NULL              | 城市ID                                       | PRI                  |
| cities                     | name               | varchar(50)                                                                  | NO                 | NULL              | 城市名称                                     | MUL                  |
| cities                     | country            | varchar(50)                                                                  | YES                | NULL              | 国家                                         | MUL                  |
| cities                     | province           | varchar(50)                                                                  | YES                | NULL              | 省份                                         | MUL                  |
| cities                     | latitude           | decimal(10,8)                                                                | YES                | NULL              | 纬度                                         |                      |
| cities                     | longitude          | decimal(11,8)                                                                | YES                | NULL              | 经度                                         |                      |
| cities                     | description        | text                                                                         | YES                | NULL              | 城市简介                                     |                      |
| cities                     | cover_image        | varchar(200)                                                                 | YES                | NULL              | 封面图                                       |                      |
| cities                     | created_at         | timestamp                                                                    | YES                | CURRENT_TIMESTAMP |                                              |                      |
| daily_services             | id                 | int                                                                          | NO                 | NULL              | 服务ID                                       | PRI                  |
| daily_services             | name               | varchar(100)                                                                 | NO                 | NULL              | 服务名称                                     | MUL                  |
| daily_services             | city_id            | int                                                                          | NO                 | NULL              | 城市ID                                       | MUL                  |
| daily_services             | service_type       | varchar(50)                                                                  | YES                | NULL              | 服务类型(酒店/餐饮/购物/医疗等)              | MUL                  |
| daily_services             | address            | varchar(200)                                                                 | YES                | NULL              | 地址                                         |                      |
